FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2018-01-01,UA,19977,UA,816,14747,1474703,30559,SEA,14771,1477104,32457,SFO,1355,1410,15.00,22.00,1432,1606,2.00,1609,1608,-1.00,0.00,,0.00,679.00
2018-01-01,UA,19977,UA,816,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1818,1817,-1.00,15.00,1832,1927,13.00,1955,1940,-15.00,0.00,,0.00,337.00
2018-01-01,UA,19977,UA,815,11292,1129202,30325,DEN,12892,1289208,32575,LAX,2251,2303,12.00,15.00,2318,0017,6.00,0030,0023,-7.00,0.00,,0.00,862.00
2018-01-01,UA,19977,UA,815,15304,1530402,33195,TPA,11292,1129202,30325,DEN,1915,1909,-6.00,18.00,1927,2103,7.00,2121,2110,-11.00,0.00,,0.00,1506.00
2018-01-01,UA,19977,UA,814,14747,1474703,30559,SEA,14771,1477104,32457,SFO,0610,0610,0.00,17.00,0627,0807,6.00,0823,0813,-10.00,0.00,,0.00,679.00
2018-01-01,UA,19977,UA,813,12892,1289208,32575,LAX,13204,1320402,31454,MCO,2200,2208,8.00,12.00,2220,0515,5.00,0548,0520,-28.00,0.00,,0.00,2218.00
2018-01-01,UA,19977,UA,812,11884,1188402,31884,GEG,11292,1129202,30325,DEN,0530,0526,-4.00,24.00,0550,0828,8.00,0849,0836,-13.00,0.00,,0.00,836.00
2018-01-01,UA,19977,UA,810,13930,1393006,30977,ORD,14771,1477104,32457,SFO,1312,1315,3.00,12.00,1327,1536,5.00,1601,1541,-20.00,0.00,,0.00,1846.00
2018-01-01,UA,19977,UA,809,14771,1477104,32457,SFO,14908,1490803,32575,SNA,1336,1335,-1.00,20.00,1355,1459,4.00,1509,1503,-6.00,0.00,,0.00,372.00
2018-01-01,UA,19977,UA,809,14908,1490803,32575,SNA,11292,1129202,30325,DEN,1602,1600,-2.00,10.00,1610,1859,11.00,1925,1910,-15.00,0.00,,0.00,846.00
2018-01-01,UA,19977,UA,806,10423,1042302,30423,AUS,13930,1393006,30977,ORD,0645,0638,-7.00,10.00,0648,0856,12.00,0925,0908,-17.00,0.00,,0.00,977.00
2018-01-01,UA,19977,UA,806,13930,1393006,30977,ORD,11292,1129202,30325,DEN,1030,1028,-2.00,23.00,1051,1156,4.00,1210,1200,-10.00,0.00,,0.00,888.00
2018-01-01,UA,19977,UA,805,14771,1477104,32457,SFO,14057,1405702,34057,PDX,0835,1018,103.00,19.00,1037,1200,5.00,1028,1205,97.00,0.00,,0.00,550.00
2018-01-01,UA,19977,UA,801,11618,1161802,31703,EWR,14027,1402702,34027,PBI,1655,1741,46.00,25.00,1806,2036,4.00,1956,2040,44.00,0.00,,0.00,1023.00
2018-01-01,UA,19977,UA,800,11618,1161802,31703,EWR,13204,1320402,31454,MCO,0930,0940,10.00,15.00,0955,1226,10.00,1228,1236,8.00,0.00,,0.00,937.00
2018-01-01,UA,19977,UA,795,13930,1393006,30977,ORD,12264,1226402,30852,IAD,1040,1038,-2.00,27.00,1105,1322,7.00,1331,1329,-2.00,0.00,,0.00,588.00
2018-01-01,UA,19977,UA,794,11618,1161802,31703,EWR,12266,1226603,31453,IAH,1929,1952,23.00,26.00,2018,2244,4.00,2238,2248,10.00,0.00,,0.00,1400.00
2018-01-01,UA,19977,UA,793,11298,1129806,30194,DFW,13930,1393006,30977,ORD,1235,1441,126.00,10.00,1451,1641,13.00,1458,1654,116.00,0.00,,0.00,802.00
2018-01-01,UA,19977,UA,792,10397,1039707,30397,ATL,11618,1161802,31703,EWR,1555,1549,-6.00,37.00,1626,1826,29.00,1816,1855,39.00,0.00,,0.00,746.00
2018-01-01,UA,19977,UA,791,11057,1105703,31057,CLT,13930,1393006,30977,ORD,0647,0641,-6.00,14.00,0655,0729,3.00,0753,0732,-21.00,0.00,,0.00,599.00
2018-01-01,UA,19977,UA,790,13930,1393006,30977,ORD,10721,1072102,30721,BOS,1750,1749,-1.00,40.00,1829,2121,4.00,2109,2125,16.00,0.00,,0.00,867.00
2018-01-01,UA,19977,UA,789,11292,1129202,30325,DEN,10721,1072102,30721,BOS,1000,0954,-6.00,13.00,1007,1527,3.00,1551,1530,-21.00,0.00,,0.00,1754.00
2018-01-01,UA,19977,UA,788,10721,1072102,30721,BOS,14771,1477104,32457,SFO,0810,0916,66.00,15.00,0931,1221,5.00,1155,1226,31.00,0.00,,0.00,2704.00
2018-01-01,UA,19977,UA,788,14771,1477104,32457,SFO,12892,1289208,32575,LAX,1458,1458,0.00,35.00,1533,1631,10.00,1640,1641,1.00,0.00,,0.00,337.00
2018-01-01,UA,19977,UA,786,10397,1039707,30397,ATL,13930,1393006,30977,ORD,1748,1751,3.00,17.00,1808,1843,3.00,1901,1846,-15.00,0.00,,0.00,606.00
2018-01-01,UA,19977,UA,785,11042,1104205,30647,CLE,13930,1393006,30977,ORD,1047,1045,-2.00,27.00,1112,1106,5.00,1118,1111,-7.00,0.00,,0.00,316.00
2018-01-01,UA,19977,UA,783,12892,1289208,32575,LAX,12264,1226402,30852,IAD,1757,1842,45.00,14.00,1856,0203,5.00,0146,0208,22.00,0.00,,0.00,2288.00
2018-01-01,UA,19977,UA,782,13930,1393006,30977,ORD,11298,1129806,30194,DFW,1923,1930,7.00,13.00,1943,2144,9.00,2159,2153,-6.00,0.00,,0.00,802.00
2018-01-01,UA,19977,UA,781,14107,1410702,30466,PHX,14771,1477104,32457,SFO,0635,0634,-1.00,11.00,0645,0728,6.00,0745,0734,-11.00,0.00,,0.00,651.00
2018-01-01,UA,19977,UA,780,13930,1393006,30977,ORD,11042,1104205,30647,CLE,1600,1658,58.00,19.00,1717,1905,5.00,1819,1910,51.00,0.00,,0.00,316.00
2018-01-01,UA,19977,UA,779,14771,1477104,32457,SFO,11618,1161802,31703,EWR,1410,1424,14.00,29.00,1453,2234,6.00,2240,2240,0.00,0.00,,0.00,2565.00
2018-01-01,UA,19977,UA,778,10397,1039707,30397,ATL,12264,1226402,30852,IAD,0943,1005,22.00,18.00,1023,1133,3.00,1130,1136,6.00,0.00,,0.00,534.00
2018-01-01,UA,19977,UA,778,12264,1226402,30852,IAD,13204,1320402,31454,MCO,1235,1235,0.00,19.00,1254,1448,11.00,1457,1459,2.00,0.00,,0.00,758.00
2018-01-01,UA,19977,UA,776,11042,1104205,30647,CLE,13930,1393006,30977,ORD,0855,0851,-4.00,21.00,0912,0908,4.00,0932,0912,-20.00,0.00,,0.00,316.00
2018-01-01,UA,19977,UA,776,13930,1393006,30977,ORD,13204,1320402,31454,MCO,1103,1059,-4.00,21.00,1120,1430,6.00,1442,1436,-6.00,0.00,,0.00,1005.00
2018-01-01,UA,19977,UA,775,10721,1072102,30721,BOS,13930,1393006,30977,ORD,0910,0906,-4.00,47.00,0953,1103,9.00,1109,1112,3.00,0.00,,0.00,867.00
2018-01-01,UA,19977,UA,775,13930,1393006,30977,ORD,11292,1129202,30325,DEN,1215,1228,13.00,24.00,1252,1400,6.00,1401,1406,5.00,0.00,,0.00,888.00
2018-01-01,UA,19977,UA,774,13930,1393006,30977,ORD,13487,1348702,31650,MSP,2245,2244,-1.00,23.00,2307,0001,3.00,0017,0004,-13.00,0.00,,0.00,334.00
2018-01-01,UA,19977,UA,774,14100,1410005,34100,PHL,13930,1393006,30977,ORD,1810,1811,1.00,22.00,1833,1917,3.00,1935,1920,-15.00,0.00,,0.00,678.00
2018-01-01,UA,19977,UA,773,11292,1129202,30325,DEN,14893,1489302,33192,SMF,1920,1920,0.00,18.00,1938,2051,4.00,2100,2055,-5.00,0.00,,0.00,909.00
2018-01-01,UA,19977,UA,772,14107,1410702,30466,PHX,11292,1129202,30325,DEN,1737,1828,51.00,10.00,1838,1958,5.00,1924,2003,39.00,0.00,,0.00,602.00
2018-01-01,UA,19977,UA,770,12889,1288903,32211,LAS,14771,1477104,32457,SFO,1642,1642,0.00,12.00,1654,1759,6.00,1825,1805,-20.00,0.00,,0.00,414.00
2018-01-01,UA,19977,UA,768,14771,1477104,32457,SFO,10721,1072102,30721,BOS,0830,0824,-6.00,26.00,0850,1638,5.00,1655,1643,-12.00,0.00,,0.00,2704.00
2018-01-01,UA,19977,UA,766,14771,1477104,32457,SFO,14057,1405702,34057,PDX,1932,1950,18.00,17.00,2007,2125,3.00,2121,2128,7.00,0.00,,0.00,550.00
2018-01-01,UA,19977,UA,765,13930,1393006,30977,ORD,11292,1129202,30325,DEN,1741,1739,-2.00,14.00,1753,1858,8.00,1925,1906,-19.00,0.00,,0.00,888.00
2018-01-01,UA,19977,UA,764,12889,1288903,32211,LAS,11292,1129202,30325,DEN,1325,1328,3.00,19.00,1347,1608,5.00,1621,1613,-8.00,0.00,,0.00,628.00
2018-01-01,UA,19977,UA,763,11042,1104205,30647,CLE,11292,1129202,30325,DEN,0850,0846,-4.00,20.00,0906,1003,8.00,1020,1011,-9.00,0.00,,0.00,1201.00
2018-01-01,UA,19977,UA,763,11292,1129202,30325,DEN,14679,1467903,33570,SAN,1116,1115,-1.00,14.00,1129,1235,2.00,1241,1237,-4.00,0.00,,0.00,853.00
2018-01-01,UA,19977,UA,762,12264,1226402,30852,IAD,12266,1226603,31453,IAH,0820,0818,-2.00,17.00,0835,1040,92.00,1048,1212,84.00,0.00,,0.00,1190.00
2018-01-01,UA,19977,UA,761,12953,1295304,31703,LGA,13930,1393006,30977,ORD,0600,0608,8.00,11.00,0619,0715,2.00,0728,0717,-11.00,0.00,,0.00,733.00
2018-01-01,UA,19977,UA,760,10721,1072102,30721,BOS,12266,1226603,31453,IAH,1010,1023,13.00,10.00,1033,1342,8.00,1340,1350,10.00,0.00,,0.00,1597.00
2018-01-01,UA,19977,UA,759,13204,1320402,31454,MCO,14771,1477104,32457,SFO,0649,0642,-7.00,19.00,0701,0945,5.00,0956,0950,-6.00,0.00,,0.00,2446.00
